filename,multisport,session_index,date,start_time,sport,sub_sport,total_elapsed_time,total_timer_time,total_distance,avg_heart_rate,max_heart_rate,avg_speed,avg_pace,total_calories,total_ascent,avg_cadence,training_load,aerobic_training_effect,anaerobic_training_effect,normalized_power,avg_power,pool_length,total_strokes
2026-01-07-10-45-43.fit,否,,2026-01-07,10:45,训练,62,11.1,11.1,,85,95,,,,,,,0.1,,,,,
2026-01-07-17-16-06.fit,否,,2026-01-07,17:16,骑行,,37.6,28.5,10.2,129,152,,,262,12,69,,2.5,0.3,,,,
2026-01-10-08-57-32.fit,否,,2026-01-10,08:57,骑行,,139.8,118.7,42.48,132,151,,,975,148,77,,3.2,0.4,,,,
2026-01-11-08-15-03.fit,否,,2026-01-11,08:15,跑步,trail,21.5,21.4,2.51,138,147,,8:31,196,6,,,1.8,,254,247,,
2026-01-11-08-38-17.fit,否,,2026-01-11,08:38,跑步,trail,18.1,18.1,2.52,152,165,,7:10,204,3,,,2.5,0.3,275,266,,
2026-01-11-10-43-13.fit,否,,2026-01-11,10:43,训练,62,12.4,12.3,,92,100,,,,,,,0.2,,,,,
2026-01-11-15-24-07.fit,否,,2026-01-11,15:24,游泳,lap_swimming,25.6,25.5,800.0,132,154,,0:01,262,,22,,2.5,0.6,,,25.0,
2026-01-14-07-09-18.fit,否,,2026-01-14,07:09,骑行,,57.5,46.7,18.39,143,167,,,500,23,71,,3.5,1.8,,,,
2026-01-14-08-14-20.fit,否,,2026-01-14,08:14,跑步,treadmill,31.1,31.1,5.01,159,170,,6:12,407,,,,3.7,0.4,298,294,,
2026-01-14-17-20-39.fit,否,,2026-01-14,17:20,骑行,,43.8,31.0,10.28,119,137,,,242,13,67,,2.0,0.1,,,,
2026-01-17-08-22-45.fit,否,,2026-01-17,08:22,游泳,lap_swimming,23.6,23.3,750.0,137,157,,0:01,254,,23,,2.6,0.9,,,25.0,
2026-01-18-10-12-29.fit,否,,2026-01-18,10:12,跑步,trail,55.6,55.6,7.87,161,182,,7:03,650,9,,,3.6,1.4,283,278,,
2026-01-18-16-01-42.fit,否,,2026-01-18,16:01,游泳,lap_swimming,74.5,68.7,1125.0,121,161,,0:03,320,,20,,2.6,1.4,,,25.0,
2026-01-18-17-35-06.fit,否,,2026-01-18,17:35,60,,2.0,2.0,,96,100,,,,,,,,,,,,
2026-01-20-07-44-37.fit,否,,2026-01-20,07:44,游泳,lap_swimming,41.8,41.7,800.0,126,164,,0:03,220,,22,,2.3,0.6,,,25.0,
2026-01-22-08-47-38.fit,否,,2026-01-22,08:47,跑步,treadmill,5.5,5.5,0.59,128,149,,9:19,54,,,,1.0,,254,207,,
2026-01-22-08-53-16.fit,否,,2026-01-22,08:53,跑步,treadmill,54.7,54.7,7.51,158,171,,7:17,694,,,,4.3,0.1,269,264,,
