,耐力得分
1月 25日-31日,4730
2月 1日-7日,4783
2月 8日-14日,4794
2月 15日-21日,4973
2月 22日-28日,5097
3月 1日-7日,5107
3月 8日-14日,5152
3月 15日-21日,5205
3月 22日-28日,5132
3月 29日 - 4月 4日,5103
4月 5日-11日,5133
4月 12日-18日,5159
